Date,Close,High,Low,Open,Volume,Ticker
2020-07-20,96.74585723876953,97.28175754889592,95.80419641793533,96.51618044051858,10384374,IBM
2020-07-21,96.50853729248047,101.18620863638702,96.30948770804035,100.41297614847032,16063004,IBM
2020-07-22,98.50672149658203,99.11918098412968,96.30951407339593,96.38607303673072,8572388,IBM
2020-07-23,97.48081970214844,99.04259524994856,97.34301849304525,98.83589038151193,4414225,IBM
2020-07-24,96.30183410644531,97.72580846508127,96.07981866828443,96.83008531945902,3693531,IBM
2020-07-27,96.62337493896484,96.70758916661629,95.47501521438623,95.58985057588771,3905136,IBM
2020-07-28,95.29127502441406,96.72289854825324,95.04628762792446,96.3247993748259,4370397,IBM
2020-07-29,95.9420166015625,96.45495727583543,94.98505113621638,95.36017837278222,2963109,IBM
2020-07-30,94.0893325805664,94.8549099279527,93.12471172118967,94.709453408923,4171553,IBM
2020-07-31,94.11992645263672,94.15820286260671,92.70360764030687,93.94384274764941,5519847,IBM
2020-08-03,95.16878509521484,95.24534404395504,93.51514601598606,94.54867044050405,3688301,IBM
2020-08-04,96.3401107788086,96.35542745524283,94.79365188143565,94.79365188143565,3625541,IBM
2020-08-05,96.04154968261719,97.0368038720829,95.39846912771095,97.02149330309437,3786102,IBM
2020-08-06,96.55448150634766,96.66166158895841,95.69703473589757,95.69703473589757,3574287,IBM
2020-08-07,96.91901397705078,97.00433086045595,95.56171173930865,95.78663412947556,3818946,IBM
2020-08-10,98.58654022216797,98.68736813153488,97.08963261548098,97.27577740039813,4150842,IBM
2020-08-11,98.30732727050781,101.19255899996953,98.1987438464017,99.86627898131897,5231255,IBM
2020-08-12,98.26856231689453,99.11396951094825,97.63257268396431,98.97435780353258,3692066,IBM
2020-08-13,96.97329711914062,98.02811554131104,96.7716412932391,97.69460354416395,3317180,IBM
2020-08-14,97.1594467163086,97.38436910488707,96.10462824196547,96.32955682010305,3099716,IBM
2020-08-17,96.51567840576172,97.40761841752727,96.49240566909765,97.14391231498139,3514665,IBM
2020-08-18,96.88798522949219,97.33783619712165,96.3605790860293,96.95003555971805,3014990,IBM
2020-08-19,96.05033111572266,97.3378273822307,95.78662497309281,96.8181768034106,3916119,IBM
2020-08-20,95.51517486572266,96.20545927852885,95.25147488075804,95.55395864437698,2679015,IBM
2020-08-21,95.52293395996094,95.77112290249808,94.86367163646563,95.40658881674007,3540815,IBM
2020-08-24,97.47743225097656,97.77216045924169,95.67804093406056,96.01154672648221,4258057,IBM
2020-08-25,96.67081451416016,98.36162250260297,96.55447556547684,97.72563294870275,3114674,IBM
2020-08-26,96.30630493164062,97.04312877658406,96.13567731864738,96.91127875982554,3544162,IBM
2020-08-27,96.6785659790039,97.0275889999829,96.15891539556895,96.63978839425451,3580144,IBM
2020-08-28,97.00431823730469,97.18270130896529,96.3450559982792,96.91900136500178,3242182,IBM
2020-08-31,95.63927459716797,97.14393788276858,95.42210153167613,97.14393788276858,5049983,IBM
2020-09-01,95.70907592773438,96.13566035886268,94.73958048685579,95.28249768616543,3300444,IBM
2020-09-02,99.41644287109375,99.81975453547295,95.8486820310876,95.95726546460823,6895650,IBM
2020-09-03,96.52345275878906,100.78925337845307,95.90296805462135,99.42419569466647,5979773,IBM
2020-09-04,94.85591125488281,97.22149255308699,94.03377072468292,96.44589131570085,6295037,IBM
